Atomic number,Element name,Element symbol,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,5f,6s,6p,6d,7s
1,Hydrogen,H,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Helium,He,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Lithium,Li,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Beryllium,Be,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Boron,B,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Carbon,C,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Nitrogen,N,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Oxygen,O,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Fluorine,F,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Neon,Ne,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Sodium,Na,2,2,2,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Magnesium,Mg,2,2,2,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Aluminium,Al,2,2,2,6,2,1,-,-,-,-,-,-,-,-,-,-,-,-
14,Silicon,Si,2,2,2,6,2,2,-,-,-,-,-,-,-,-,-,-,-,-
15,Phosphorous,P,2,2,2,6,2,3,-,-,-,-,-,-,-,-,-,-,-,-
16,Sulfur,S,2,2,2,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-
17,Chlorine,Cl,2,2,2,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-
18,Argon,Ar,2,2,2,6,2,6,-,-,-,-,-,-,-,-,-,-,-,-
19,Potassium,K,2,2,2,6,2,6,-,1,-,-,-,-,-,-,-,-,-,-
20,Calcium,Ca,2,2,2,6,2,6,-,2,-,-,-,-,-,-,-,-,-,-
21,Scandium,Sc,2,2,2,6,2,6,1,2,-,-,-,-,-,-,-,-,-,-
22,Titanium,Ti,2,2,2,6,2,6,2,2,-,-,-,-,-,-,-,-,-,-
23,Vanadium,V,2,2,2,6,2,6,3,2,-,-,-,-,-,-,-,-,-,-
24,Chromium,Cr,2,2,2,6,2,6,5,1,-,-,-,-,-,-,-,-,-,-
25,Manganese,Mn,2,2,2,6,2,6,5,2,-,-,-,-,-,-,-,-,-,-
26,Iron,Fe,2,2,2,6,2,6,6,2,-,-,-,-,-,-,-,-,-,-
27,Cobalt,Co,2,2,2,6,2,6,7,2,-,-,-,-,-,-,-,-,-,-
28,Nickel,Ni,2,2,2,6,2,6,8,2,-,-,-,-,-,-,-,-,-,-
29,Copper,Cu,2,2,2,6,2,6,10,1,-,-,-,-,-,-,-,-,-,-
30,Zinc,Zn,2,2,2,6,2,6,10,2,-,-,-,-,-,-,-,-,-,-
31,Gallium,Ga,2,2,2,6,2,6,10,2,1,-,-,-,-,-,-,-,-,-
32,Germanium,Ge,2,2,2,6,2,6,10,2,2,-,-,-,-,-,-,-,-,-
33,Arsenic,As,2,2,2,6,2,6,10,2,3,-,-,-,-,-,-,-,-,-
34,Selenium,Se,2,2,2,6,2,6,10,2,4,-,-,-,-,-,-,-,-,-
35,Bromine,Br,2,2,2,6,2,6,10,2,5,-,-,-,-,-,-,-,-,-
36,Krypton,Kr,2,2,2,6,2,6,10,2,6,-,-,-,-,-,-,-,-,-
37,Rubidium,Rb,2,2,8,2,6,10,2,6,-,-,1,-,-,-,-,-,-,-
38,Strontium,Sr,2,2,8,2,6,10,2,6,-,-,2,-,-,-,-,-,-,-
39,Yttrium,Y,2,2,8,2,6,10,2,6,1,-,2,-,-,-,-,-,-,-
40,Zirconium,Zr,2,2,8,2,6,10,2,6,2,-,2,-,-,-,-,-,-,-
41,Niobium,Nb,2,2,8,2,6,10,2,6,4,-,1,-,-,-,-,-,-,-
42,Molybdenium,Mo,2,2,8,2,6,10,2,6,5,-,1,-,-,-,-,-,-,-
43,Technetium,Tc,2,2,8,2,6,10,2,6,6,-,1,-,-,-,-,-,-,-
44,Ruthenium,Ru,2,2,8,2,6,10,2,6,7,-,1,-,-,-,-,-,-,-
45,Rhodium,Rh,2,2,8,2,6,10,2,6,8,-,1,-,-,-,-,-,-,-
46,Palladium,Pd,2,2,8,2,6,10,2,6,10,-,-,-,-,-,-,-,-,-
47,Silver,Ag,2,2,8,2,6,10,2,6,10,-,1,-,-,-,-,-,-,-
48,Cadmium,Cd,2,2,8,2,6,10,2,6,10,-,2,-,-,-,-,-,-,-
49,Indium,In,2,2,8,2,6,10,2,6,10,-,2,1,-,-,-,-,-,-
50,Tin,Sn,2,2,8,2,6,10,2,6,10,-,2,2,-,-,-,-,-,-
51,Antimony,Sb,2,2,8,2,6,10,2,6,10,-,2,3,-,-,-,-,-,-
52,Tellurium,Te,2,2,8,2,6,10,2,6,10,-,2,4,-,-,-,-,-,-
53,Iodine,I,2,2,8,2,6,10,2,6,10,-,2,5,-,-,-,-,-,-
54,Xenon,Xe,2,2,8,2,6,10,2,6,10,-,2,6,-,-,-,-,-,-
55,Cesium,Cs,2,2,8,2,6,10,2,6,10,-,2,6,-,-,1,-,-,-
56,Barium,Ba,2,2,8,2,6,10,2,6,10,-,2,6,-,-,2,-,-,-
57,Lanthanum,La,2,2,8,2,6,10,2,6,10,-,2,6,1,-,2,-,-,-
58,Cerium,Ce,2,2,8,2,6,10,2,6,10,2,2,6,-,-,2,-,-,-
59,Praseodymium,Pr,2,2,8,2,6,10,2,6,10,3,2,6,-,-,2,-,-,-
60,Neodymium,Nd,2,2,8,2,6,10,2,6,10,4,2,6,-,-,2,-,-,-
61,Promethium,Pm,2,2,8,2,6,10,2,6,10,5,2,6,-,-,2,-,-,-
62,Samarium,Sm,2,2,8,2,6,10,2,6,10,6,2,6,-,-,2,-,-,-
63,Europium,Eu,2,2,8,2,6,10,2,6,10,7,2,6,-,-,2,-,-,-
64,Gadolinium,Gd,2,2,8,2,6,10,2,6,10,7,2,6,1,-,2,-,-,-
65,Terbium,Tb,2,2,8,2,6,10,2,6,10,9,2,6,-,-,2,-,-,-
66,Dysprosium,Dy,2,2,8,2,6,10,2,6,10,10,2,6,-,-,2,-,-,-
67,Holmium,Ho,2,2,8,2,6,10,2,6,10,11,2,6,-,-,2,-,-,-
68,Erbium,Er,2,2,8,2,6,10,2,6,10,12,2,6,-,-,2,-,-,-
69,Thulium,Tm,2,2,8,2,6,10,2,6,10,13,2,6,-,-,2,-,-,-
70,Ytterbium,Yb,2,2,8,2,6,10,2,6,10,14,2,6,-,-,2,-,-,-
71,Lutetium,Lu,2,2,8,2,6,10,2,6,10,14,2,6,1,-,2,-,-,-
72,Hafnium,Hf,2,2,8,2,6,10,2,6,10,14,2,6,2,-,2,-,-,-
73,Tantalum,Ta,2,2,8,2,6,10,2,6,10,14,2,6,3,-,2,-,-,-
74,Tungsten,W,2,2,8,2,6,10,2,6,10,14,2,6,4,-,2,-,-,-
75,Rhenium,Re,2,2,8,2,6,10,2,6,10,14,2,6,5,-,2,-,-,-
76,Osmium,Os,2,2,8,2,6,10,2,6,10,14,2,6,6,-,2,-,-,-
77,Iridium,Ir,2,2,8,2,6,10,2,6,10,14,2,6,7,-,2,-,-,-
78,Platinum,Pt,2,2,8,2,6,10,2,6,10,14,2,6,9,-,1,-,-,-
79,Gold,Au,2,2,8,2,6,10,2,6,10,14,2,6,10,-,1,-,-,-
80,Mercury,Hg,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,-,-,-
81,Thalium,Tl,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,1,-,-
82,Lead,Pb,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,2,-,-
83,Bismuth,Bi,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,3,-,-
84,Polonium,Po,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,4,-,-
85,Astatine,At,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,5,-,-
86,Radon,Rn,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,-
87,Francium,Fr,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,1
88,Radium,Ra,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,-,2
89,Actinium,Ac,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,1,2
90,Thorium,Th,2,2,8,2,6,10,2,6,10,14,2,6,10,-,2,6,2,2
91,Protactinium,Pa,2,2,8,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2
92,Uranium,U,2,2,8,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2
93,Neptunium,Np,2,2,8,2,6,10,2,6,10,14,2,6,10,4,2,6,1,2
94,Plutonium,Pu,2,2,8,2,6,10,2,6,10,14,2,6,10,6,2,6,-,2
95,Americium,Am,2,2,8,2,6,10,2,6,10,14,2,6,10,7,2,6,-,2
96,Curium,Cm,2,2,8,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2
97,Berkelium,Bk,2,2,8,2,6,10,2,6,10,14,2,6,10,9,2,6,-,2
98,Californium,Cf,2,2,8,2,6,10,2,6,10,14,2,6,10,10,2,6,-,2
99,Einsteinium,Es,2,2,8,2,6,10,2,6,10,14,2,6,10,11,2,6,-,2
100,Fermium,Fm,2,2,8,2,6,10,2,6,10,14,2,6,10,12,2,6,-,2
101,Mendelevium,Md,2,2,8,2,6,10,2,6,10,14,2,6,10,13,2,6,-,2
102,Nobelium,No,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,-,2
103,Lawrencium,Lr,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,1,2
104,Rutherfordium,Rf,2,2,8,2,6,10,2,6,10,14,2,6,10,14,2,6,2,2
